"","ensembl_gene_id","external_gene_name","description","gene_biotype","chromosome_name","start_position"
"3373","ENSG00000143458","GABPB2","GA binding protein transcription factor subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:28441]","protein_coding","1",151070578
"3374","ENSG00000143434","SEMA6C","semaphorin 6C [Source:HGNC Symbol;Acc:HGNC:10740]","protein_coding","1",151131685
"3375","ENSG00000270277","AC009948.1","novel transcript, antisense to titin","lncRNA","2",178548884
"3376","ENSG00000279598","AC009948.3","novel transcript, antisense to titin","TEC","2",178554561
"3377","ENSG00000271011","AC010680.3","novel transcript, antisense to TTN","lncRNA","2",178577103
"3378","ENSG00000270574","AC010680.2","novel transcript, antisense to titin","lncRNA","2",178578790
"3379","ENSG00000271141","AC010680.4","novel transcript","lncRNA","2",178616581
"3380","ENSG00000163492","CCDC141","coiled-coil domain containing 141 [Source:HGNC Symbol;Acc:HGNC:26821]","protein_coding","2",178829757
"3381","ENSG00000090530","P3H2","prolyl 3-hydroxylase 2 [Source:HGNC Symbol;Acc:HGNC:19317]","protein_coding","3",189956728
"3382","ENSG00000187231","SESTD1","SEC14 and spectrin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:18379]","protein_coding","2",179101678
"3383","ENSG00000163154","TNFAIP8L2","TNF alpha induced protein 8 like 2 [Source:HGNC Symbol;Acc:HGNC:26277]","protein_coding","1",151156649
"3384","ENSG00000163156","SCNM1","sodium channel modifier 1 [Source:HGNC Symbol;Acc:HGNC:23136]","protein_coding","1",151156664
"3385","ENSG00000225764","P3H2-AS1","P3H2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40886]","lncRNA","3",190120964
"3386","ENSG00000163155","LYSMD1","LysM domain containing 1 [Source:HGNC Symbol;Acc:HGNC:32070]","protein_coding","1",151159748
"3387","ENSG00000163157","TMOD4","tropomodulin 4 [Source:HGNC Symbol;Acc:HGNC:11874]","protein_coding","1",151169986
"3388","ENSG00000196083","IL1RAP","interleukin 1 receptor accessory protein [Source:HGNC Symbol;Acc:HGNC:5995]","protein_coding","3",190514051
"3389","ENSG00000163159","VPS72","vacuolar protein sorting 72 homolog [Source:HGNC Symbol;Acc:HGNC:11644]","protein_coding","1",151176304
"3390","ENSG00000163510","CWC22","CWC22 spliceosome associated protein homolog [Source:HGNC Symbol;Acc:HGNC:29322]","protein_coding","2",179944876
"3391","ENSG00000143398","PIP5K1A","phosphatidylinositol-4-phosphate 5-kinase type 1 alpha [Source:HGNC Symbol;Acc:HGNC:8994]","protein_coding","1",151197949
"3392","ENSG00000170035","UBE2E3","ubiquitin conjugating enzyme E2 E3 [Source:HGNC Symbol;Acc:HGNC:12479]","protein_coding","2",180967248
"3393","ENSG00000233308","OSTN-AS1","OSTN antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:41250]","lncRNA","3",191213291
"3394","ENSG00000188958","UTS2B","urotensin 2B [Source:HGNC Symbol;Acc:HGNC:30894]","protein_coding","3",191267168
"3395","ENSG00000159352","PSMD4","proteasome 26S subunit, non-ATPase 4 [Source:HGNC Symbol;Acc:HGNC:9561]","protein_coding","1",151254709
"3396","ENSG00000152492","CCDC50","coiled-coil domain containing 50 [Source:HGNC Symbol;Acc:HGNC:18111]","protein_coding","3",191329085
"3397","ENSG00000234663","LINC01934","long intergenic non-protein coding RNA 1934 [Source:HGNC Symbol;Acc:HGNC:52757]","lncRNA","2",181086076
"3398","ENSG00000143373","ZNF687","zinc finger protein 687 [Source:HGNC Symbol;Acc:HGNC:29277]","protein_coding","1",151281618
"3399","ENSG00000115232","ITGA4","integrin subunit alpha 4 [Source:HGNC Symbol;Acc:HGNC:6140]","protein_coding","2",181457202
"3400","ENSG00000180611","MB21D2","Mab-21 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30438]","protein_coding","3",192796815
"3401","ENSG00000143393","PI4KB","phosphatidylinositol 4-kinase beta [Source:HGNC Symbol;Acc:HGNC:8984]","protein_coding","1",151291797
"3402","ENSG00000127249","ATP13A4","ATPase 13A4 [Source:HGNC Symbol;Acc:HGNC:25422]","protein_coding","3",193398967
"3403","ENSG00000188452","CERKL","ceramide kinase like [Source:HGNC Symbol;Acc:HGNC:21699]","protein_coding","2",181536672
"3404","ENSG00000273481","AL391069.2","novel transcript","lncRNA","1",151327949
"3405","ENSG00000143390","RFX5","regulatory factor X5 [Source:HGNC Symbol;Acc:HGNC:9986]","protein_coding","1",151340640
"3406","ENSG00000198836","OPA1","OPA1 mitochondrial dynamin like GTPase [Source:HGNC Symbol;Acc:HGNC:8140]","protein_coding","3",193593144
"3407","ENSG00000143416","SELENBP1","selenium binding protein 1 [Source:HGNC Symbol;Acc:HGNC:10719]","protein_coding","1",151364304
"3408","ENSG00000260742","AC009962.1","novel transcript, antisense to SSFA2","lncRNA","2",181887851
"3409","ENSG00000159377","PSMB4","proteasome 20S subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:9541]","protein_coding","1",151399560
"3410","ENSG00000143442","POGZ","pogo transposable element derived with ZNF domain [Source:HGNC Symbol;Acc:HGNC:18801]","protein_coding","1",151402724
"3411","ENSG00000143367","TUFT1","tuftelin 1 [Source:HGNC Symbol;Acc:HGNC:12422]","protein_coding","1",151540305
"3412","ENSG00000077232","DNAJC10","DnaJ heat shock protein family (Hsp40) member C10 [Source:HGNC Symbol;Acc:HGNC:24637]","protein_coding","2",182716041
"3413","ENSG00000143376","SNX27","sorting nexin 27 [Source:HGNC Symbol;Acc:HGNC:20073]","protein_coding","1",151612006
"3414","ENSG00000162998","FRZB","frizzled related protein [Source:HGNC Symbol;Acc:HGNC:3959]","protein_coding","2",182833275
"3415","ENSG00000250734","AL391335.1","novel transcript, antisense to SNX27","lncRNA","1",151612038
"3416","ENSG00000061676","NCKAP1","NCK associated protein 1 [Source:HGNC Symbol;Acc:HGNC:7666]","protein_coding","2",182909115
"3417","ENSG00000143436","MRPL9","mitochondrial ribosomal protein L9 [Source:HGNC Symbol;Acc:HGNC:14277]","protein_coding","1",151759647
"3418","ENSG00000162999","DUSP19","dual specificity phosphatase 19 [Source:HGNC Symbol;Acc:HGNC:18894]","protein_coding","2",183078559
"3419","ENSG00000163002","NUP35","nucleoporin 35 [Source:HGNC Symbol;Acc:HGNC:29797]","protein_coding","2",183117513
"3420","ENSG00000143450","OAZ3","ornithine decarboxylase antizyme 3 [Source:HGNC Symbol;Acc:HGNC:8097]","protein_coding","1",151762899
"3421","ENSG00000232874","AC080129.2","novel transcript","lncRNA","3",194130616
"3422","ENSG00000114315","HES1","hes family bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:5192]","protein_coding","3",194136148
"3423","ENSG00000182134","TDRKH","tudor and KH domain containing [Source:HGNC Symbol;Acc:HGNC:11713]","protein_coding","1",151770107
"3424","ENSG00000283839","AC096667.1","proline-rich protein 18-like [Source:NCBI gene (formerly Entrezgene);Acc:105373780]","lncRNA","2",184593577
"3425","ENSG00000170396","ZNF804A","zinc finger protein 804A [Source:HGNC Symbol;Acc:HGNC:21711]","protein_coding","2",184598529
"3426","ENSG00000214145","LINC00887","long intergenic non-protein coding RNA 887 [Source:HGNC Symbol;Acc:HGNC:48574]","lncRNA","3",194296191
"3427","ENSG00000178732","GP5","glycoprotein V platelet [Source:HGNC Symbol;Acc:HGNC:4443]","protein_coding","3",194394821
"3428","ENSG00000188738","FSIP2","fibrous sheath interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:21675]","protein_coding","2",185738804
"3429","ENSG00000133657","ATP13A3","ATPase 13A3 [Source:HGNC Symbol;Acc:HGNC:24113]","protein_coding","3",194402672
"3430","ENSG00000237877","LINC01473","long intergenic non-protein coding RNA 1473 [Source:HGNC Symbol;Acc:HGNC:51109]","lncRNA","2",186032884
"3431","ENSG00000233058","LINC00884","long intergenic non-protein coding RNA 884 [Source:HGNC Symbol;Acc:HGNC:48570]","lncRNA","3",194487140
"3432","ENSG00000231770","TMEM44-AS1","TMEM44 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44272]","lncRNA","3",194584004
"3433","ENSG00000259915","AC017071.1","novel transcript","lncRNA","2",186354570
"3434","ENSG00000065548","ZC3H15","zinc finger CCCH-type containing 15 [Source:HGNC Symbol;Acc:HGNC:29528]","protein_coding","2",186486253
"3435","ENSG00000145014","TMEM44","transmembrane protein 44 [Source:HGNC Symbol;Acc:HGNC:25120]","protein_coding","3",194587673
"3436","ENSG00000203288","TDRKH-AS1","TDRKH antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40578]","lncRNA","1",151790804
"3437","ENSG00000138448","ITGAV","integrin subunit alpha V [Source:HGNC Symbol;Acc:HGNC:6150]","protein_coding","2",186590056
"3438","ENSG00000143365","RORC","RAR related orphan receptor C [Source:HGNC Symbol;Acc:HGNC:10260]","protein_coding","1",151806071
"3439","ENSG00000272707","AC046143.2","novel transcript","lncRNA","3",194637505
"3440","ENSG00000225556","C2CD4D","C2 calcium dependent domain containing 4D [Source:HGNC Symbol;Acc:HGNC:37210]","protein_coding","1",151837819
"3441","ENSG00000041802","LSG1","large 60S subunit nuclear export GTPase 1 [Source:HGNC Symbol;Acc:HGNC:25652]","protein_coding","3",194640791
"3442","ENSG00000196407","THEM5","thioesterase superfamily member 5 [Source:HGNC Symbol;Acc:HGNC:26755]","protein_coding","1",151847101
"3443","ENSG00000159445","THEM4","thioesterase superfamily member 4 [Source:HGNC Symbol;Acc:HGNC:17947]","protein_coding","1",151870866
"3444","ENSG00000285651","AL450992.2","novel transcript, antisense to THEM4","lncRNA","1",151885251
"3445","ENSG00000197747","S100A10","S100 calcium binding protein A10 [Source:HGNC Symbol;Acc:HGNC:10487]","protein_coding","1",151982915
"3446","ENSG00000185112","FAM43A","family with sequence similarity 43 member A [Source:HGNC Symbol;Acc:HGNC:26888]","protein_coding","3",194685883
"3447","ENSG00000163191","S100A11","S100 calcium binding protein A11 [Source:HGNC Symbol;Acc:HGNC:10488]","protein_coding","1",152032506
"3448","ENSG00000159450","TCHH","trichohyalin [Source:HGNC Symbol;Acc:HGNC:11791]","protein_coding","1",152106317
"3449","ENSG00000173950","XXYLT1","xyloside xylosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:26639]","protein_coding","3",195068284
"3450","ENSG00000144369","FAM171B","family with sequence similarity 171 member B [Source:HGNC Symbol;Acc:HGNC:29412]","protein_coding","2",186694060
"3451","ENSG00000230266","XXYLT1-AS2","XXYLT1 antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:41154]","lncRNA","3",195147871
"3452","ENSG00000114331","ACAP2","ArfGAP with coiled-coil, ankyrin repeat and PH domains 2 [Source:HGNC Symbol;Acc:HGNC:16469]","protein_coding","3",195274745
"3453","ENSG00000064989","CALCRL","calcitonin receptor like receptor [Source:HGNC Symbol;Acc:HGNC:16709]","protein_coding","2",187341964
"3454","ENSG00000184203","PPP1R2","protein phosphatase 1 regulatory inhibitor subunit 2 [Source:HGNC Symbol;Acc:HGNC:9288]","protein_coding","3",195514428
"3455","ENSG00000003436","TFPI","tissue factor pathway inhibitor [Source:HGNC Symbol;Acc:HGNC:11760]","protein_coding","2",187464230
"3456","ENSG00000223711","AC069213.1","novel transcript","lncRNA","3",195544048
"3457","ENSG00000241794","SPRR2A","small proline rich protein 2A [Source:HGNC Symbol;Acc:HGNC:11261]","protein_coding","1",153056120
"3458","ENSG00000189058","APOD","apolipoprotein D [Source:HGNC Symbol;Acc:HGNC:612]","protein_coding","3",195568705
"3459","ENSG00000229178","AC233280.1","novel transcript","lncRNA","3",195655565
"3460","ENSG00000242086","MUC20-OT1","MUC20 overlapping transcript [Source:HGNC Symbol;Acc:HGNC:53807]","lncRNA","3",195658062
"3461","ENSG00000163220","S100A9","S100 calcium binding protein A9 [Source:HGNC Symbol;Acc:HGNC:10499]","protein_coding","1",153357854
"3462","ENSG00000163221","S100A12","S100 calcium binding protein A12 [Source:HGNC Symbol;Acc:HGNC:10489]","protein_coding","1",153373711
"3463","ENSG00000143546","S100A8","S100 calcium binding protein A8 [Source:HGNC Symbol;Acc:HGNC:10498]","protein_coding","1",153390032
"3464","ENSG00000197956","S100A6","S100 calcium binding protein A6 [Source:HGNC Symbol;Acc:HGNC:10496]","protein_coding","1",153534599
"3465","ENSG00000196420","S100A5","S100 calcium binding protein A5 [Source:HGNC Symbol;Acc:HGNC:10495]","protein_coding","1",153537147
"3466","ENSG00000196154","S100A4","S100 calcium binding protein A4 [Source:HGNC Symbol;Acc:HGNC:10494]","protein_coding","1",153543613
"3467","ENSG00000188015","S100A3","S100 calcium binding protein A3 [Source:HGNC Symbol;Acc:HGNC:10493]","protein_coding","1",153547329
"3468","ENSG00000196754","S100A2","S100 calcium binding protein A2 [Source:HGNC Symbol;Acc:HGNC:10492]","protein_coding","1",153561108
"3469","ENSG00000188643","S100A16","S100 calcium binding protein A16 [Source:HGNC Symbol;Acc:HGNC:20441]","protein_coding","1",153606886
"3470","ENSG00000176945","MUC20","mucin 20, cell surface associated [Source:HGNC Symbol;Acc:HGNC:23282]","protein_coding","3",195720884
"3471","ENSG00000189171","S100A13","S100 calcium binding protein A13 [Source:HGNC Symbol;Acc:HGNC:10490]","protein_coding","1",153618787
"3472","ENSG00000272030","AL162258.2","novel transcript, antisense to S100A1 and CHTOP","lncRNA","1",153631438
"3473","ENSG00000160679","CHTOP","chromatin target of PRMT1 [Source:HGNC Symbol;Acc:HGNC:24511]","protein_coding","1",153633982
"3474","ENSG00000204262","COL5A2","collagen type V alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2210]","protein_coding","2",189031898
"3475","ENSG00000143553","SNAPIN","SNAP associated protein [Source:HGNC Symbol;Acc:HGNC:17145]","protein_coding","1",153658703
"3476","ENSG00000143621","ILF2","interleukin enhancer binding factor 2 [Source:HGNC Symbol;Acc:HGNC:6037]","protein_coding","1",153661788
"3477","ENSG00000143624","INTS3","integrator complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:26153]","protein_coding","1",153728050
"3478","ENSG00000115368","WDR75","WD repeat domain 75 [Source:HGNC Symbol;Acc:HGNC:25725]","protein_coding","2",189441446
"3479","ENSG00000138449","SLC40A1","solute carrier family 40 member 1 [Source:HGNC Symbol;Acc:HGNC:10909]","protein_coding","2",189560590
"3480","ENSG00000143554","SLC27A3","solute carrier family 27 member 3 [Source:HGNC Symbol;Acc:HGNC:10997]","protein_coding","1",153774354
"3481","ENSG00000138381","ASNSD1","asparagine synthetase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24910]","protein_coding","2",189661385
"3482","ENSG00000151687","ANKAR","ankyrin and armadillo repeat containing [Source:HGNC Symbol;Acc:HGNC:26350]","protein_coding","2",189674290
"3483","ENSG00000143614","GATAD2B","GATA zinc finger domain containing 2B [Source:HGNC Symbol;Acc:HGNC:30778]","protein_coding","1",153789030
"3484","ENSG00000128694","OSGEPL1","O-sialoglycoprotein endopeptidase like 1 [Source:HGNC Symbol;Acc:HGNC:23075]","protein_coding","2",189746660
"3485","ENSG00000253559","OSGEPL1-AS1","OSGEPL1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:41009]","lncRNA","2",189762704
"3486","ENSG00000284738","AL358472.5","novel transcript, antisense to DENND4B","lncRNA","1",153923337
"3487","ENSG00000273240","AC013468.1","novel transcript","lncRNA","2",189763859
"3488","ENSG00000198837","DENND4B","DENN domain containing 4B [Source:HGNC Symbol;Acc:HGNC:29044]","protein_coding","1",153929501
"3489","ENSG00000128699","ORMDL1","ORMDL sphingolipid biosynthesis regulator 1 [Source:HGNC Symbol;Acc:HGNC:16036]","protein_coding","2",189770267
"3490","ENSG00000160741","CRTC2","CREB regulated transcription coactivator 2 [Source:HGNC Symbol;Acc:HGNC:27301]","protein_coding","1",153947669
"3491","ENSG00000064933","PMS1","PMS1 homolog 1, mismatch repair system component [Source:HGNC Symbol;Acc:HGNC:9121]","protein_coding","2",189784085
"3492","ENSG00000143570","SLC39A1","solute carrier family 39 member 1 [Source:HGNC Symbol;Acc:HGNC:12876]","protein_coding","1",153959099
"3493","ENSG00000061938","TNK2","tyrosine kinase non receptor 2 [Source:HGNC Symbol;Acc:HGNC:19297]","protein_coding","3",195863364
"3494","ENSG00000282386","AL358472.4","novel transcript, antisense to SLC39A1","lncRNA","1",153964361
"3495","ENSG00000273026","AL358472.3","novel transcript, antisense to SLC39A1","lncRNA","1",153966516
"3496","ENSG00000143578","CREB3L4","cAMP responsive element binding protein 3 like 4 [Source:HGNC Symbol;Acc:HGNC:18854]","protein_coding","1",153967534
"3497","ENSG00000143543","JTB","jumping translocation breakpoint [Source:HGNC Symbol;Acc:HGNC:6201]","protein_coding","1",153974269
"3498","ENSG00000272654","AL358472.2","novel transcript","lncRNA","1",153977743
"3499","ENSG00000143545","RAB13","RAB13, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9762]","protein_coding","1",153981617
"3500","ENSG00000177954","RPS27","ribosomal protein S27 [Source:HGNC Symbol;Acc:HGNC:10416]","protein_coding","1",153990762
"3501","ENSG00000143552","NUP210L","nucleoporin 210 like [Source:HGNC Symbol;Acc:HGNC:29915]","protein_coding","1",153992685
"3502","ENSG00000224614","TNK2-AS1","TNK2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:49093]","lncRNA","3",195908076
"3503","ENSG00000231443","AC124944.1","protein phosphatase 4, regulatory subunit 2 (PPP4R2) pseudogene","processed_pseudogene","3",195937243
"3504","ENSG00000143549","TPM3","tropomyosin 3 [Source:HGNC Symbol;Acc:HGNC:12012]","protein_coding","1",154155304
"3505","ENSG00000072274","TFRC","transferrin receptor [Source:HGNC Symbol;Acc:HGNC:11763]","protein_coding","3",196027183
"3506","ENSG00000187699","C2orf88","chromosome 2 open reading frame 88 [Source:HGNC Symbol;Acc:HGNC:28191]","protein_coding","2",189879609
"3507","ENSG00000198130","HIBCH","3-hydroxyisobutyryl-CoA hydrolase [Source:HGNC Symbol;Acc:HGNC:4908]","protein_coding","2",190189735
"3508","ENSG00000163958","ZDHHC19","zinc finger DHHC-type palmitoyltransferase 19 [Source:HGNC Symbol;Acc:HGNC:20713]","protein_coding","3",196197452
"3509","ENSG00000163959","SLC51A","solute carrier family 51 subunit alpha [Source:HGNC Symbol;Acc:HGNC:29955]","protein_coding","3",196211487
"3510","ENSG00000151689","INPP1","inositol polyphosphate-1-phosphatase [Source:HGNC Symbol;Acc:HGNC:6071]","protein_coding","2",190343570
"3511","ENSG00000161217","PCYT1A","phosphate cytidylyltransferase 1, choline, alpha [Source:HGNC Symbol;Acc:HGNC:8754]","protein_coding","3",196214222
"3512","ENSG00000151690","MFSD6","major facilitator superfamily domain containing 6 [Source:HGNC Symbol;Acc:HGNC:24711]","protein_coding","2",190408355
"3513","ENSG00000213123","TCTEX1D2","Tctex1 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28482]","protein_coding","3",196291219
"3514","ENSG00000235897","TM4SF19-AS1","TM4SF19 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:41085]","lncRNA","3",196318330
"3515","ENSG00000272979","AC093388.1","novel transcript, antisense to MFSD6","lncRNA","2",190454092
"3516","ENSG00000189362","NEMP2","nuclear envelope integral membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:33700]","protein_coding","2",190504338
"3517","ENSG00000145107","TM4SF19","transmembrane 4 L six family member 19 [Source:HGNC Symbol;Acc:HGNC:25167]","protein_coding","3",196319342
"3518","ENSG00000233654","AC108047.1","novel transcript","lncRNA","2",190534855
"3519","ENSG00000163960","UBXN7","UBX domain protein 7 [Source:HGNC Symbol;Acc:HGNC:29119]","protein_coding","3",196347662
"3520","ENSG00000138386","NAB1","NGFI-A binding protein 1 [Source:HGNC Symbol;Acc:HGNC:7626]","protein_coding","2",190646746
"3521","ENSG00000163961","RNF168","ring finger protein 168 [Source:HGNC Symbol;Acc:HGNC:26661]","protein_coding","3",196468783
"3522","ENSG00000235852","AC005540.1","novel transcript","lncRNA","2",190880797
"3523","ENSG00000273013","AC117490.2","novel transcript, antisense to RNF168","lncRNA","3",196474801
"3524","ENSG00000115419","GLS","glutaminase [Source:HGNC Symbol;Acc:HGNC:4331]","protein_coding","2",190880821
"3525","ENSG00000185798","WDR53","WD repeat domain 53 [Source:HGNC Symbol;Acc:HGNC:28786]","protein_coding","3",196554177
"3526","ENSG00000143612","C1orf43","chromosome 1 open reading frame 43 [Source:HGNC Symbol;Acc:HGNC:29876]","protein_coding","1",154206696
"3527","ENSG00000174013","FBXO45","F-box protein 45 [Source:HGNC Symbol;Acc:HGNC:29148]","protein_coding","3",196568611
"3528","ENSG00000232065","LINC01063","long intergenic non-protein coding RNA 1063 [Source:HGNC Symbol;Acc:HGNC:49092]","lncRNA","3",196631498
"3529","ENSG00000174004","NRROS","negative regulator of reactive oxygen species [Source:HGNC Symbol;Acc:HGNC:24613]","protein_coding","3",196639694
"3530","ENSG00000163964","PIGX","phosphatidylinositol glycan anchor biosynthesis class X [Source:HGNC Symbol;Acc:HGNC:26046]","protein_coding","3",196639775
"3531","ENSG00000174007","CEP19","centrosomal protein 19 [Source:HGNC Symbol;Acc:HGNC:28209]","protein_coding","3",196706277
"3532","ENSG00000180370","PAK2","p21 (RAC1) activated kinase 2 [Source:HGNC Symbol;Acc:HGNC:8591]","protein_coding","3",196739857
"3533","ENSG00000119231","SENP5","SUMO specific peptidase 5 [Source:HGNC Symbol;Acc:HGNC:28407]","protein_coding","3",196867856
"3534","ENSG00000115415","STAT1","signal transducer and activator of transcription 1 [Source:HGNC Symbol;Acc:HGNC:11362]","protein_coding","2",190908460
"3535","ENSG00000143569","UBAP2L","ubiquitin associated protein 2 like [Source:HGNC Symbol;Acc:HGNC:29877]","protein_coding","1",154220179
"3536","ENSG00000114503","NCBP2","nuclear cap binding protein subunit 2 [Source:HGNC Symbol;Acc:HGNC:7659]","protein_coding","3",196935402
"3537","ENSG00000225578","NCBP2-AS1","NCBP2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40392]","lncRNA","3",196939877
"3538","ENSG00000119227","PIGZ","phosphatidylinositol glycan anchor biosynthesis class Z [Source:HGNC Symbol;Acc:HGNC:30596]","protein_coding","3",196946356
"3539","ENSG00000163975","MELTF","melanotransferrin [Source:HGNC Symbol;Acc:HGNC:7037]","protein_coding","3",196988621
"3540","ENSG00000228109","MELTF-AS1","MELTF antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40373]","lncRNA","3",196999460
"3541","ENSG00000075711","DLG1","discs large MAGUK scaffold protein 1 [Source:HGNC Symbol;Acc:HGNC:2900]","protein_coding","3",197042560
"3542","ENSG00000143575","HAX1","HCLS1 associated protein X-1 [Source:HGNC Symbol;Acc:HGNC:16915]","protein_coding","1",154272589
"3543","ENSG00000143595","AQP10","aquaporin 10 [Source:HGNC Symbol;Acc:HGNC:16029]","protein_coding","1",154321090
"3544","ENSG00000143515","ATP8B2","ATPase phospholipid transporting 8B2 [Source:HGNC Symbol;Acc:HGNC:13534]","protein_coding","1",154325525
"3545","ENSG00000228013","IL6R-AS1","IL6R antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:53716]","lncRNA","1",154402328
"3546","ENSG00000160712","IL6R","interleukin 6 receptor [Source:HGNC Symbol;Acc:HGNC:6019]","protein_coding","1",154405193
"3547","ENSG00000169291","SHE","Src homology 2 domain containing E [Source:HGNC Symbol;Acc:HGNC:27004]","protein_coding","1",154469772
"3548","ENSG00000160714","UBE2Q1","ubiquitin conjugating enzyme E2 Q1 [Source:HGNC Symbol;Acc:HGNC:15698]","protein_coding","1",154548577
"3549","ENSG00000233875","AL592078.1","novel transcript","lncRNA","1",154579065
"3550","ENSG00000160710","ADAR","adenosine deaminase RNA specific [Source:HGNC Symbol;Acc:HGNC:225]","protein_coding","1",154582057
"3551","ENSG00000143603","KCNN3","potassium calcium-activated channel subfamily N member 3 [Source:HGNC Symbol;Acc:HGNC:6292]","protein_coding","1",154697455
"3552","ENSG00000138378","STAT4","signal transducer and activator of transcription 4 [Source:HGNC Symbol;Acc:HGNC:11365]","protein_coding","2",191029576
"3553","ENSG00000163344","PMVK","phosphomevalonate kinase [Source:HGNC Symbol;Acc:HGNC:9141]","protein_coding","1",154924740
"3554","ENSG00000270361","AL451085.1","novel transcript","lncRNA","1",154937370
"3555","ENSG00000163346","PBXIP1","PBX homeobox interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:21199]","protein_coding","1",154944076
"3556","ENSG00000163348","PYGO2","pygopus family PHD finger 2 [Source:HGNC Symbol;Acc:HGNC:30257]","protein_coding","1",154957026
"3557","ENSG00000271380","AL451085.2","uncharacterized LOC101928120 [Source:NCBI gene (formerly Entrezgene);Acc:101928120]","lncRNA","1",154961825
"3558","ENSG00000128641","MYO1B","myosin IB [Source:HGNC Symbol;Acc:HGNC:7596]","protein_coding","2",191245185
"3559","ENSG00000160691","SHC1","SHC adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:10840]","protein_coding","1",154962298
"3560","ENSG00000173207","CKS1B","CDC28 protein kinase regulatory subunit 1B [Source:HGNC Symbol;Acc:HGNC:19083]","protein_coding","1",154974653
"3561","ENSG00000160688","FLAD1","flavin adenine dinucleotide synthetase 1 [Source:HGNC Symbol;Acc:HGNC:24671]","protein_coding","1",154983338
"3562","ENSG00000160685","ZBTB7B","zinc finger and BTB domain containing 7B [Source:HGNC Symbol;Acc:HGNC:18668]","protein_coding","1",155002630
"3563","ENSG00000163354","DCST2","DC-STAMP domain containing 2 [Source:HGNC Symbol;Acc:HGNC:26562]","protein_coding","1",155018520
"3564","ENSG00000173559","NABP1","nucleic acid binding protein 1 [Source:HGNC Symbol;Acc:HGNC:26232]","protein_coding","2",191678068
"3565","ENSG00000161267","BDH1","3-hydroxybutyrate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:1027]","protein_coding","3",197509783
"3566","ENSG00000232093","DCST1-AS1","DCST1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:41147]","lncRNA","1",155045191
"3567","ENSG00000143537","ADAM15","ADAM metallopeptidase domain 15 [Source:HGNC Symbol;Acc:HGNC:193]","protein_coding","1",155050566
"3568","ENSG00000168497","CAVIN2","caveolae associated protein 2 [Source:HGNC Symbol;Acc:HGNC:10690]","protein_coding","2",191834310
"3569","ENSG00000236833","AC024560.1","novel transcript","lncRNA","3",197660565
"3570","ENSG00000145016","RUBCN","rubicon autophagy regulator [Source:HGNC Symbol;Acc:HGNC:28991]","protein_coding","3",197668867
"3571","ENSG00000122068","FYTTD1","forty-two-three domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25407]","protein_coding","3",197737179
"3572","ENSG00000273375","AC055764.2","novel transcript","lncRNA","3",197789700
"3573","ENSG00000186001","LRCH3","leucine rich repeats and calponin homology domain containing 3 [Source:HGNC Symbol;Acc:HGNC:28637]","protein_coding","3",197791226
"3574","ENSG00000271893","AC064834.1","novel transcript","lncRNA","2",195451778
"3575","ENSG00000223466","LINC01825","long intergenic non-protein coding RNA 1825 [Source:HGNC Symbol;Acc:HGNC:52631]","lncRNA","2",195532945
"3576","ENSG00000196950","SLC39A10","solute carrier family 39 member 10 [Source:HGNC Symbol;Acc:HGNC:20861]","protein_coding","2",195575977
"3577","ENSG00000118997","DNAH7","dynein axonemal heavy chain 7 [Source:HGNC Symbol;Acc:HGNC:18661]","protein_coding","2",195737703
"3578","ENSG00000114473","IQCG","IQ motif containing G [Source:HGNC Symbol;Acc:HGNC:25251]","protein_coding","3",197889077
"3579","ENSG00000182899","RPL35A","ribosomal protein L35a [Source:HGNC Symbol;Acc:HGNC:10345]","protein_coding","3",197950190
"3580","ENSG00000081320","STK17B","serine/threonine kinase 17b [Source:HGNC Symbol;Acc:HGNC:11396]","protein_coding","2",196133583
